canonical_cell_type_coverage,canonical_cell_type_nonempty_cells,canonical_gene_coverage,canonical_gene_nonempty,cell_type_mapping_status_counts,dataset_id,declared_expression_representation,declared_storage_kind,expression_semantics,file_size_bytes,finite_fraction,gene_id_profile,gene_mapping_status_counts,integer_like_fraction,label_column,label_coverage,labeled_cells,layer_profiles,layers,median_known_type_cells,metadata_columns,min_known_type_cells,n_cells,n_genes,n_known_cell_types,negative_fraction,obs_columns,obs_names_unique,obsm,obsp,path,rare_types_lt1pct,rare_types_lt50,sample_max,sample_min,sampled_values,schema_version,species_inferred,status,top_cell_types,unknown_or_missing_cells,uns_keys,var_columns,var_names_unique,varm,warnings,x_class,x_dtype,zero_fraction
0.0,0,0.0,0,"{""unmapped"": 69520}",Arabidopsis thaliana_CNP0002469,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,260551706,1.0,"{""arabidopsis_locus"": 4996, ""symbol_like"": 4}","{""unmapped"": 19242}",1.0,celltype_after,0.9776467203682394,67966,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 40.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9564806620279948}}","[""None""]",6262.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 5, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",675,69520,19242,5,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype1"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_CNP0002469.h5ad,1,0,40.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Leaf guard cell"": 39828, ""Leaf lamina epidermis"": 6262, ""Leaf vascular system"": 675, ""Mesophyll cell"": 18313, ""Phloem parenchyma cell"": 2888}",1554,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9564806620279948
0.0,0,0.0,0,"{""unmapped"": 102713}",Arabidopsis thaliana_CNP0004389,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,1144209428,1.0,"{""arabidopsis_locus"": 2488, ""other"": 37, ""symbol_like"": 2475}","{""unmapped"": 25416}",1.0,celltype_after,0.5874134724913107,60335,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 1138.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.590569814046224}}","[""None""]",5148.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",973,102713,25416,9,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_CNP0004389.h5ad,1,0,1138.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Columella root cap cell"": 4540, ""Epidermis-like cell"": 9152, ""Lateral root cap"": 5148, ""Quiescent center-like cell"": 5057, ""Regenerative cell"": 5134, ""Response cell"": 11793, ""Root epidermis"": 6450, ""Root stele"": 973, ""Vascular-like cell"": 12088}",42378,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.590569814046224
0.0,0,0.0,0,"{""unmapped"": 1560}",Arabidopsis thaliana_EMTAB11006,scaled_continuous,dense,scaled_continuous_or_centered,23374442,1.0,"{""arabidopsis_locus"": 3552}","{""unmapped"": 3552}",1.7801920572916668e-05,celltype_after,1.0,1560,"{""None"": {""class"": ""Dataset"", ""dtype"": ""float32"", ""expression_semantics"": ""scaled_continuous_or_centered"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.7801920572916668e-05, ""negative_fraction"": 0.8416938781738281, ""sample_equal_to_x"": true, ""sample_max"": 6.959691524505615, ""sample_min"": -2.8617348670959473, ""sampled_values"": 786432, ""zero_fraction"": 0.0}}","[""None""]",161.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",62,1560,3552,7,0.8416938781738281,"[""source__unnamed"", ""orig.ident"", ""source__index"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.9"", ""seurat_clusters"", ""celltype_before"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_EMTAB11006.h5ad,0,0,6.959691524505615,-2.8617348670959473,786432,1.0.0,Arabidopsis thaliana,ok,"{""Bundle sheath cell"": 128, ""Leaf abaxial pavement cell"": 128, ""Leaf adaxial pavement cell"": 62, ""Leaf initial cell"": 739, ""Leaf vascular system"": 161, ""Mesophyll cell"": 163, ""Spongy mesophyll cell"": 179}",0,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",Dataset,float32,0.0
0.0,0,0.0,0,"{""unmapped"": 13957}",Arabidopsis thaliana_EMTAB12532,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,126256226,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 22799}",1.0,celltype_after,0.8098445224618471,11303,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 138.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9120877583821615}}","[""None""]",2016.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",335,13957,22799,4,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_EMTAB12532.h5ad,0,0,138.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Hypocotyl"": 6936, ""Plant embryo cotyledon"": 335, ""Radicle"": 1250, ""Vascular initial cell"": 2782}",2654,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9120877583821615
0.0,0,0.0,0,"{""unmapped"": 1348}",Arabidopsis thaliana_EMTAB9174,scaled_continuous,dense,scaled_continuous_or_centered,5075530,1.0,"{""arabidopsis_locus"": 2000}","{""unmapped"": 2000}",0.00186920166015625,celltype_after,0.9792284866468842,1320,"{""None"": {""class"": ""Dataset"", ""dtype"": ""float32"", ""expression_semantics"": ""scaled_continuous_or_centered"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 0.00186920166015625, ""negative_fraction"": 0.9413541158040365, ""sample_equal_to_x"": true, ""sample_max"": 10.0, ""sample_min"": -1.2734392881393433, ""sampled_values"": 786432, ""zero_fraction"": 0.0}}","[""None""]",139.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",19,1348,2000,5,0.9413541158040365,"[""source__unnamed"", ""orig.ident"", ""source__index"", ""nCount_RNA"", ""nFeature_RNA"", ""RNA_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_EMTAB9174.h5ad,0,1,10.0,-1.2734392881393433,786432,1.0.0,Arabidopsis thaliana,ok,"{""Early anther"": 52, ""Epidermis"": 362, ""Flower meristem"": 748, ""Intermediate anther"": 139, ""Late anther"": 19}",28,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",Dataset,float32,0.0
0.0,0,0.0,0,"{""unmapped"": 35199}",Arabidopsis thaliana_PRJCA003094,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,596974377,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 34220}",1.0,celltype_after,0.8728941163101225,30725,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 1195.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9091275533040365}}","[""None""]",4741.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",106,35199,34220,8,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""percent.mt"", ""percent.ct"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.3"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_PRJCA003094.h5ad,1,0,1195.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Companion cell"": 736, ""Leaf guard cell"": 479, ""Mesophyll cell"": 5482, ""Proliferating cell"": 7964, ""Shoot apical meristem"": 106, ""Shoot system endodermis"": 4608, ""Shoot system epidermis"": 6476, ""Shoot system vascular system"": 4874}",4474,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9091275533040365
0.0,0,0.0,0,"{""unmapped"": 54273}",Arabidopsis thaliana_PRJCA016521_Root,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,626222871,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 24756}",1.0,celltype_after,0.7985554511451366,43340,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 259.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9056218465169271}}","[""None""]",2783.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 2, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",1453,54273,24756,13,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_PRJCA016521_Root.h5ad,0,0,259.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Columella root cap cell"": 1636, ""G2/M-phase cell"": 2881, ""Lateral root cap"": 7581, ""Non-hair root epidermal cell"": 1534, ""Pericycle cell"": 7811, ""Phloem"": 2219, ""Root cortex"": 4198, ""Root endodermis"": 2996, ""Root hair cell"": 2783, ""Root initial cell"": 2694, ""Root procambium"": 3684, ""S-phase cell"": 1453, ""Xylem"": 1870}",10933,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9056218465169271
0.0,0,0.0,0,"{""unmapped"": 35503}",Arabidopsis thaliana_PRJCA016521_Shoot,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,261590044,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 24669}",1.0,celltype_after,0.775906261442695,27547,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 634.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9339307149251302}}","[""None""]",1160.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 2, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",285,35503,24669,11,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_PRJCA016521_Shoot.h5ad,1,0,634.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Companion cell"": 726, ""Mesophyll cell"": 7846, ""S-phase cell"": 394, ""Shoot apical meristem"": 1160, ""Shoot parenchyma"": 2364, ""Shoot system cortex"": 1241, ""Shoot system endodermis"": 853, ""Shoot system epidermis"": 7680, ""Shoot system vascular system"": 4542, ""Sieve element"": 285, ""Xylem"": 456}",7956,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9339307149251302
0.0,0,0.0,0,"{""unmapped"": 21616}",Arabidopsis thaliana_PRJCA021408_Root,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,103182892,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 25102}",1.0,celltype_after,0.8236028867505552,17803,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 60.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9550081888834635}}","[""None""]",3275.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",654,21616,25102,4,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_PRJCA021408_Root.h5ad,0,0,60.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Non-hair root epidermal cell"": 10599, ""Root cortex"": 5133, ""Root endodermis"": 1417, ""Root hair cell"": 654}",3813,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9550081888834635
0.0,0,0.0,0,"{""unmapped"": 68134}",Arabidopsis thaliana_PRJCA021408_Shoot,nonnegative_integer_unverified,csr,count_like_nonnegative_integer,287900385,1.0,"{""arabidopsis_locus"": 5000}","{""unmapped"": 25102}",1.0,celltype_after,0.6161094314145654,41978,"{""None"": {""class"": ""_CSRDataset"", ""dtype"": ""int64"", ""expression_semantics"": ""count_like_nonnegative_integer"", ""finite_fraction"": 1.0, ""integer_like_fraction"": 1.0, ""negative_fraction"": 0.0, ""sample_equal_to_x"": true, ""sample_max"": 18.0, ""sample_min"": 0.0, ""sampled_values"": 786432, ""zero_fraction"": 0.9619572957356771}}","[""None""]",6788.0,"{""condition"": null, ""sample"": ""orig.ident"", ""sample_n_unique"": 1, ""sample_nonempty_fraction"": 1.0, ""species"": ""species"", ""species_n_unique"": 1, ""species_nonempty_fraction"": 1.0, ""stage"": null, ""tissue"": ""tissue"", ""tissue_n_unique"": 1, ""tissue_nonempty_fraction"": 1.0}",860,68134,25102,4,0.0,"[""source__unnamed"", ""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""source__index"", ""nCount_SCT"", ""nFeature_SCT"", ""integrated_snn_res.0.5"", ""seurat_clusters"", ""celltype_after"", ""dataset_id"", ""species"", ""accession"", ""tissue"", ""cell_type_original"", ""cell_type_canonical"", ""cell_type_mapping_status"", ""cell_type_is_unknown""]",True,[],[],Arabidopsis thaliana_PRJCA021408_Shoot.h5ad,0,0,18.0,0.0,786432,1.0.0,Arabidopsis thaliana,ok,"{""Guard cell"": 860, ""Mesophyll cell"": 27542, ""Proliferating cell"": 4392, ""Shoot system epidermis"": 9184}",26156,"[""conversion_provenance"", ""expression_representation"", ""schema_version"", ""source"", ""source_annotation_column_name_map""]","[""gene_id_original"", ""gene_id_canonical"", ""gene_mapping_status"", ""species"", ""dataset_id""]",True,[],"[""canonical_cell_type_mapping_empty"", ""canonical_gene_mapping_empty"", ""nonsemantic_expression_layer_name""]",_CSRDataset,int64,0.9619572957356771
