panel	fine_source_label	fine_ontology_id	coarse_label	hierarchy_level	mapping_rule	accepted	approval_scope
root	Root cortex	PO:0000258	ground_tissue	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root endodermis	PO:0005059	ground_tissue	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root epidermis	PO:0006036	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root hair cell	PO:0000256	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Non-hair root epidermal cell	PO:0000263	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root stele	PO:0020124	stele_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root procambium	PO:0006307	stele_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Pericycle cell	PO:0025261	stele_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Columella root cap cell	PO:0020132	root_cap	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
root	Root cap	PO:0020123	root_cap	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Mesophyll cell	PO:0004006	photosynthetic_ground_tissue	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Leaf guard cell	PO:0025237	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Guard cell	PO:0000293	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Leaf lamina epidermis	PO:0000047	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Leaf pavement cell	PO:0025212	epidermal_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Bundle sheath cell	PO:0025541	photosynthetic_ground_tissue	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
leaf	Leaf vascular system	PO:0000036	vascular_system	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Xylem	PO:0005352	xylem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Phloem	PO:0005417	phloem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Companion cell	PO:0000071	phloem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Phloem parenchyma cell	PO:0025627	phloem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Sieve element	PO:0025406	phloem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Metaxylem	PO:0000372	xylem_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Root procambium	PO:0006307	procambial_lineage	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Root vascular system	PO:0003011	vascular_unspecified	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Leaf vascular system	PO:0000036	vascular_unspecified	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
vascular	Shoot system vascular system	PO:0025205	vascular_unspecified	pilot_major_cell_family	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	coarse_domain_baseline_v1
