dataset_id	h5ad_path	readable	file_bytes	n_cells	n_genes	observed_species	proposed_species	species_status	accession	observed_tissue	proposed_tissue	tissue_status	unknown_cells	unknown_fraction	expression_class	storage_kind	expression_dtype	source_expression_path	source_annotation_path	source_expression_sha256	source_annotation_sha256	schema_version
Arabidopsis thaliana_CNP0002469	Arabidopsis thaliana_CNP0002469.h5ad	True	260551706	69520	19242	Arabidopsis thaliana	Arabidopsis thaliana	recorded	CNP0002469	not explicitly recorded		missing	1554	0.022353279631760644	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_CNP0002469.csv	Arabidopsis thaliana_CNP0002469.anno.csv	212940f8dc72a797869bf2b30852e1573dcad1465c79613b4352d5765e8d169c	b44f2e893dc17352c808e2270bb3c14869e95c6ec63b04221e42947f4fe56b2e	1.0.0
Arabidopsis thaliana_CNP0004389	Arabidopsis thaliana_CNP0004389.h5ad	True	1144209428	102713	25416	Arabidopsis thaliana	Arabidopsis thaliana	recorded	CNP0004389	not explicitly recorded		missing	42378	0.41258652750868924	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_CNP0004389.csv	Arabidopsis thaliana_CNP0004389.anno.csv	15a327dfd79dde8eaf2153d28846d9063633612c7a0fa13b90c8d200131350db	01ed111cb6c0caf566b46cfc48b2a9639c7a61d446b04cf6b950b6d641fc66ca	1.0.0
Arabidopsis thaliana_EMTAB11006	Arabidopsis thaliana_EMTAB11006.h5ad	True	23374442	1560	3552	Arabidopsis thaliana	Arabidopsis thaliana	recorded	E-MTAB-11006	not explicitly recorded		missing	0	0.0	scaled_continuous	dense	float32	Arabidopsis thaliana_EMTAB11006.csv	Arabidopsis thaliana_EMTAB11006.anno.csv	60a179f2b628c8a503bd0e3a033d6afc4b2aece9d237a5388efd9071b3988fd6	bdc6493acac503b7e79a3227d8fc795304aed6dda9e9b0879d3da33a12ce9a59	1.0.0
Arabidopsis thaliana_EMTAB12532	Arabidopsis thaliana_EMTAB12532.h5ad	True	126256226	13957	22799	Arabidopsis thaliana	Arabidopsis thaliana	recorded	E-MTAB-12532	not explicitly recorded		missing	2654	0.1901554775381529	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_EMTAB12532.csv	Arabidopsis thaliana_EMTAB12532.anno.csv	5bea81aa4b3d5e140e28520a109bbf40299999f087adfe797721d0ad80eb7778	ee8f1e637d0c59a1491e697af352c95121c05a947125bc9b6f24ef62c7496ef9	1.0.0
Arabidopsis thaliana_EMTAB9174	Arabidopsis thaliana_EMTAB9174.h5ad	True	5075530	1348	2000	Arabidopsis thaliana	Arabidopsis thaliana	recorded	E-MTAB-9174	not explicitly recorded in source; annotation labels include flower meristem and anther		recorded	28	0.020771513353115726	scaled_continuous	dense	float32	Arabidopsis thaliana_EMTAB9174.csv	Arabidopsis thaliana_EMTAB9174.anno.csv	8eb6dfc73a10bd54512d88ae0de03db549ed1dd02c675c904009a96a6784e106	8628cc6ce7ad97fb875f69ff835331e8aaac009049db69a7a3a99b00e0a8cc46	1.0.0
Arabidopsis thaliana_PRJCA003094	Arabidopsis thaliana_PRJCA003094.h5ad	True	596974377	35199	34220	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJCA003094	not explicitly recorded		missing	4474	0.12710588368987755	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJCA003094.csv	Arabidopsis thaliana_PRJCA003094.anno.csv	c8d90aeb2cbc9307e87d707df4fa2ee684d5bc4bb38ac76e8eaf78d845116707	79ecd7b76c9b8d7d10c81eb37b5ecd1b93c22398e37c04ec23996e5c488c45e3	1.0.0
Arabidopsis thaliana_PRJCA016521_Root	Arabidopsis thaliana_PRJCA016521_Root.h5ad	True	626222871	54273	24756	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJCA016521	root	root	recorded	10933	0.20144454885486338	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJCA016521_Root.csv	Arabidopsis thaliana_PRJCA016521_Root.anno.csv	b98861921a7d3efd208b69271274acd9bb828e287e2003bfaddcba5b3bea68ba	8b924a9e375ea3a2dca5f4ea0d68e73e31fe1f87d1c1d231afbbe933d0d845d2	1.0.0
Arabidopsis thaliana_PRJCA016521_Shoot	Arabidopsis thaliana_PRJCA016521_Shoot.h5ad	True	261590044	35503	24669	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJCA016521	shoot	shoot	recorded	7956	0.22409373855730502	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJCA016521_Shoot.csv	Arabidopsis thaliana_PRJCA016521_Shoot.anno.csv	c8a21cf996af52b3664e46f6755f85b28199c20f6c6dfa32b99c73e09bfc455b	892eab5ad576f0cd3a451ad9105863b557a91344c591f4ae1f5e3c04ea4aed9c	1.0.0
Arabidopsis thaliana_PRJCA021408_Root	Arabidopsis thaliana_PRJCA021408_Root.h5ad	True	103182892	21616	25102	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJCA021408	root	root	recorded	3813	0.17639711324944485	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJCA021408_Root.csv	Arabidopsis thaliana_PRJCA021408_Root.anno.csv	8ba4634fca861e661ad3bc4ef0b9d6faa8839cb5a45b915d90d28b7c3b796698	680c2896847d0c524dbe4e771098e35f2398a3e39f67498e9fa51610341ccbc3	1.0.0
Arabidopsis thaliana_PRJCA021408_Shoot	Arabidopsis thaliana_PRJCA021408_Shoot.h5ad	True	287900385	68134	25102	Arabidopsis thaliana	Arabidopsis thaliana	recorded	PRJCA021408	shoot	shoot	recorded	26156	0.3838905685854346	nonnegative_integer_unverified	csr	int64	Arabidopsis thaliana_PRJCA021408_Shoot.csv	Arabidopsis thaliana_PRJCA021408_Shoot.anno.csv	560edabc7cb395bf713493016fde443f73db3e45c25322125e707336ea2a9e10	e270a2f93999b4292aec6974c95c2bcd30d23d3d89f95a6b29e5314d628e5e4c	1.0.0
