record_type	record_id	stage	metric	value	unit	source_path	source_sha256	authority_version	dataset_id	species	tissue	tissue_status	label_column	cells	labeled_cells	unknown_cells	unknown_fraction	readable	panel	candidate_label_count	labels_ge_100_cells	candidate_cells	panel_status	accepted	reason	workflow_order	description
collection_summary	readable_h5ad	resource_audit	readable_h5ad	121	files	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
collection_summary	cells	resource_audit	cells	3120007	cells	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
collection_summary	species	resource_audit	species	33	species	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
collection_summary	labeled_cells	resource_audit	labeled_cells	2149362	cells	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
collection_summary	unknown_or_missing_cells	resource_audit	unknown_or_missing_cells	970645	cells	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
collection_summary	unknown_or_missing_fraction	resource_audit	unknown_or_missing_fraction	0.31110346867811517	fraction	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;47c1a264a05492d2f8cbe4797082744135331e365ae67e3f6bae12b62ee5f35c	audit_20260910																			
dataset	Arabidopsis thaliana_CNP0002469	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_CNP0002469	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	69520	67966	1554	0.022353279631760644	True									
dataset	Arabidopsis thaliana_CNP0004389	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_CNP0004389	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	102713	60335	42378	0.41258652750868924	True									
dataset	Arabidopsis thaliana_EMTAB11006	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_EMTAB11006	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	1560	1560	0	0.0	True									
dataset	Arabidopsis thaliana_EMTAB12532	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_EMTAB12532	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	13957	11303	2654	0.1901554775381529	True									
dataset	Arabidopsis thaliana_EMTAB9174	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_EMTAB9174	Arabidopsis thaliana	not explicitly recorded in source; annotation labels include flower meristem and anther	recorded	celltype_after	1348	1320	28	0.020771513353115726	True									
dataset	Arabidopsis thaliana_PRJCA003094	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJCA003094	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	35199	30725	4474	0.12710588368987755	True									
dataset	Arabidopsis thaliana_PRJCA016521_Root	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJCA016521_Root	Arabidopsis thaliana	root	recorded	celltype_after	54273	43340	10933	0.20144454885486338	True									
dataset	Arabidopsis thaliana_PRJCA016521_Shoot	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJCA016521_Shoot	Arabidopsis thaliana	shoot	recorded	celltype_after	35503	27547	7956	0.22409373855730502	True									
dataset	Arabidopsis thaliana_PRJCA021408_Root	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJCA021408_Root	Arabidopsis thaliana	root	recorded	celltype_after	21616	17803	3813	0.17639711324944485	True									
dataset	Arabidopsis thaliana_PRJCA021408_Shoot	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJCA021408_Shoot	Arabidopsis thaliana	shoot	recorded	celltype_after	68134	41978	26156	0.3838905685854346	True									
dataset	Arabidopsis thaliana_PRJDB14071	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJDB14071	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	18280	6274	12006	0.6567833698030635	True									
dataset	Arabidopsis thaliana_PRJEB47924	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJEB47924	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	2286	721	1565	0.6846019247594051	True									
dataset	Arabidopsis thaliana_PRJEB61052	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJEB61052	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	54066	21164	32902	0.6085525098953132	True									
dataset	Arabidopsis thaliana_PRJNA471914	resource_audit				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	c55fc29b9bd86f3795557a79faa9b58b390b4d7f43fea62c7263c35efa82e9d7;74218fbeb25ed470fd9ee6802a7c08ab3c5a4124abb092fd7d34f3cf7f683b35	audit_20260910+dataset_manifest_v1	Arabidopsis thaliana_PRJNA471914	Arabidopsis thaliana	not explicitly recorded	missing	celltype_after	5045	4204	841	0.16669970267591674	True									
