species	scope	record_type	comparator	orthogroups	positive_cells	negative_cells	auroc	average_precision	smd	auroc_lower_95	auroc_upper_95	interval_type	source_path	source_sha256	authority_version	random_programs	random_auc_median	random_auc_q95	empirical_p	note	estimand	estimate	lower_95	upper_95	bootstrap_n
esa	pooled	method	complete_family	16	221	15160	0.894943826932031	0.401197035141741	1.5057045760467	0.871719867417233	0.917295126493869	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	pooled	method	single_gene	16	221	15160	0.858878150407717	0.422559123255399	1.39248599693189	0.828494456565862	0.889305888023974	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	pooled	method	anti_circular	11	221	15160	0.889033268066715	0.367884011503026	1.49883986604245				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	pooled	method	phloem_off_target	10	221	15160	0.4914179371769	0.012895162954401	-0.10287478831583				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
esa	pooled	method	equal_weight	16	221	15160	0.897230745352738	0.472350313723494	1.69332506594161				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	pooled	method	complete_family	16	224	17675	0.925660486967064	0.676476238369659	1.81901347279272	0.901351062083249	0.949529952389372	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	pooled	method	single_gene	15	224	17675	0.931443978581532	0.719275879660655	1.77551947336879	0.908737516417458	0.953473031167913	conditional_stratified_cell_bootstrap_percentile	internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	pooled	method	anti_circular	11	224	17675	0.919838603758335	0.639579370238789	1.79577772673638				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	pooled	method	phloem_off_target	10	224	17675	0.436108304708022	0.0100933717665831	-0.249647917435997				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
sir	pooled	method	equal_weight	16	224	17675	0.924592089310972	0.68304657630282	2.01563503122077				internal_source_record:not_publicly_portable;internal_source_record:not_publicly_portable	5ab3b0877252d7f439f90c58072d52ae0e607a9d68b99d2e8a29c83791c92fb9;e4b2c1029f5ef065609677ff34e26a344310b8f0bced08e5aa82b0bb38d13e75	gse268881_root_xylem_validation_v1_1										
