dataset_id	standardized_object_filename	object_size_bytes	direct_source_object_sha256	checksum_scope
Arabidopsis thaliana_EMTAB11006	Arabidopsis thaliana_EMTAB11006.h5ad	23374442	6b5d9196378db58bc6bcc528e6444faba996cd0625b8531d468a1641d4a29554	standardized_h5ad_object
Arabidopsis thaliana_PRJCA016521_Root	Arabidopsis thaliana_PRJCA016521_Root.h5ad	626222871	43e80e4ef69cdbe6efb7d39b7d3750dd747a7b71e8e32198ec7ec51ad1c65ddc	standardized_h5ad_object
Arabidopsis thaliana_PRJCA016521_Shoot	Arabidopsis thaliana_PRJCA016521_Shoot.h5ad	261590044	d8584636666d2f7a424d910f27f11d354cc12e4e73e80220e14abfe3c0316553	standardized_h5ad_object
Arabidopsis thaliana_PRJCA021408_Root	Arabidopsis thaliana_PRJCA021408_Root.h5ad	103182892	9e881cb7b6d0b8ef9433e2d5b706b41f7c70d76f372f9b282ab0906bcc60ee73	standardized_h5ad_object
Arabidopsis thaliana_PRJCA021408_Shoot	Arabidopsis thaliana_PRJCA021408_Shoot.h5ad	287900385	dea9349e01e503240690d9ce8a32ca1fe3af1cb9404a12de72d7484da90e89ab	standardized_h5ad_object
Arabidopsis thaliana_PRJDB14071	Arabidopsis thaliana_PRJDB14071.h5ad	73713057	bf6e487beef064348a76c926f50b49fd78d3863ffd2ea87e90b10b5ac72d7d38	standardized_h5ad_object
Arabidopsis thaliana_PRJEB61052	Arabidopsis thaliana_PRJEB61052.h5ad	1412012811	49904967f6322cbb9ec6d549d6849a046311568cf5f51b20dee2bbe37bc73f22	standardized_h5ad_object
Arabidopsis thaliana_PRJNA471914	Arabidopsis thaliana_PRJNA471914.h5ad	110164303	1c5ba3bd216502b907dc43e3d843218d41fbf504f9f09a041df374461577e2fc	standardized_h5ad_object
Arabidopsis thaliana_PRJNA497883	Arabidopsis thaliana_PRJNA497883.h5ad	251041014	8d3649488085a62071c2d302ddafc15cd0657dd85b9a81ac6ed679af003998c5	standardized_h5ad_object
Arabidopsis thaliana_PRJNA506007	Arabidopsis thaliana_PRJNA506007.h5ad	426526678	f42b760819dbad199a3a689133af2672b39b692c104a5ad7758db25e53ab401d	standardized_h5ad_object
Arabidopsis thaliana_PRJNA507252	Arabidopsis thaliana_PRJNA507252.h5ad	301246820	824d672183db7f75559e6774f0220be0d1ebe0c0bf7fe5efa0736162ec44969f	standardized_h5ad_object
Arabidopsis thaliana_PRJNA509920	Arabidopsis thaliana_PRJNA509920.h5ad	111900696	b89ef953c0dfe6898c39340e183961800ef5402699ff5f9daeffa856fc270cfd	standardized_h5ad_object
Arabidopsis thaliana_PRJNA517021	Arabidopsis thaliana_PRJNA517021.h5ad	43628466	f03ec7f193f957d95e1ef18bd71eb7cb0c23e8d56eb0d141c606f6fd6a320121	standardized_h5ad_object
Arabidopsis thaliana_PRJNA577177	Arabidopsis thaliana_PRJNA577177.h5ad	209314991	cfa7eb9a1873a97d81f033e63c72b50626598e7e8c0a8ea6a480220798d94b02	standardized_h5ad_object
Arabidopsis thaliana_PRJNA594539	Arabidopsis thaliana_PRJNA594539.h5ad	316617452	a01a40896bf89c9d2290e92b44e692f3c3e05713d19b046649c45ef126dbd90f	standardized_h5ad_object
Arabidopsis thaliana_PRJNA613684	Arabidopsis thaliana_PRJNA613684.h5ad	156082073	30f574644623b6871ee201781519e00e6e5679cacd11282f0084af75e052bb2e	standardized_h5ad_object
Arabidopsis thaliana_PRJNA640389	Arabidopsis thaliana_PRJNA640389.h5ad	8179201665	a27dfe8d0825c0fd2c779026f53c462cb3bc1c0b06951fb1dc79982a5b3250b6	standardized_h5ad_object
Arabidopsis thaliana_PRJNA649267	Arabidopsis thaliana_PRJNA649267.h5ad	86354164	438d554e51de7bded1cd1a919c2bfeac403b09e8a2dbd58ac3cb44f089fe9f2c	standardized_h5ad_object
Arabidopsis thaliana_PRJNA666436	Arabidopsis thaliana_PRJNA666436.h5ad	118038016	c7790abfc7ece302019e291e093a6d4aa30ae22bde3a102dc5f027ce98f7347c	standardized_h5ad_object
Arabidopsis thaliana_PRJNA678377	Arabidopsis thaliana_PRJNA678377.h5ad	72215532	cdf5482105bdd83bb73a54300fc320a6cb9e9f4e2dc7750fd18fdbd7991bded4	standardized_h5ad_object
Arabidopsis thaliana_PRJNA703045	Arabidopsis thaliana_PRJNA703045.h5ad	86547673	6ebaa7a1573c8abdc84483da55746b66615709fe56181ff4357bd1165008306d	standardized_h5ad_object
Arabidopsis thaliana_PRJNA742744	Arabidopsis thaliana_PRJNA742744.h5ad	68924725	f2b331f7215b7f622067c5fea5a9b25fc5e34871aba06b642f99979d6938f802	standardized_h5ad_object
Arabidopsis thaliana_PRJNA745175	Arabidopsis thaliana_PRJNA745175.h5ad	28167531	c095d2ef038113e183b06927821fd66971d33e40ddc214aa709370b027f91b51	standardized_h5ad_object
Arabidopsis thaliana_PRJNA750934	Arabidopsis thaliana_PRJNA750934.h5ad	273330580	16b4cd7721fa9b75eaa27b54d5eec75cda3bd186de24e20d5c8dd884b2866506	standardized_h5ad_object
Arabidopsis thaliana_PRJNA764868	Arabidopsis thaliana_PRJNA764868.h5ad	1227250440	3e688dff25e53d68fc59f717a6f38f2c7d838e6f090fe7d030ca526b10547fb1	standardized_h5ad_object
