panel	source_label	ontology_id	ontology_name	governed_level	governed_label	parent_label	mapping_status	mapping_reason	accepted	approval_scope	aggregate_cells	aggregate_datasets	aggregate_species	source_path	source_hash
leaf	Bundle sheath cell	PO:0025541	bundle sheath cell	pilot_major_cell_family	photosynthetic_ground_tissue	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	42211	23	9	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Guard cell	PO:0000293	guard cell	pilot_major_cell_family	epidermal_system	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	3631	6	5	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Leaf guard cell	PO:0025237	leaf guard cell	pilot_major_cell_family	epidermal_system	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	89772	20	8	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Leaf lamina epidermis	PO:0000047	leaf lamina epidermis	pilot_major_cell_family	epidermal_system	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	74988	25	13	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Leaf pavement cell	PO:0025212	leaf pavement cell	pilot_major_cell_family	epidermal_system	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	39793	5	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Leaf vascular system	PO:0000036	leaf vascular system	pilot_major_cell_family	vascular_system	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	30817	16	10	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
leaf	Mesophyll cell	PO:0004006	mesophyll cell	pilot_major_cell_family	photosynthetic_ground_tissue	leaf	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	328095	41	17	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Columella root cap cell	PO:0020132	columella root cap cell	pilot_major_cell_family	root_cap	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	22935	12	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Non-hair root epidermal cell	PO:0000263	non-hair root epidermal cell	pilot_major_cell_family	epidermal_system	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	45047	13	3	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
root	Pericycle cell	PO:0025261	pericycle cell	pilot_major_cell_family	stele_lineage	root	mapped	expert_defined_many_to_one_from_user_approved_exact_PO_labels	True	pilot_baselines_only	24629	15	7	metadata/panel_label_freeze_v1.tsv;metadata/coarse_label_hierarchy_v1.tsv;panel_label_candidates_v1.tsv	78a020ef314246281f19dc5eec25dbb28c50c5c376ee9df5a6b5090a0ec7d321;e139f4d944b153210afd8aef98174679bf7caead33207fadc3a2e8c4cb619abb;6b1d04e2ecf3afe205dda470e0e413138b32a1930074d84f54fdb560121d9443
