dataset_id	accession	species	panel	tissue	feature_namespace	total_features	gene_mapped_features	mapped_features	mapping_fraction	mapping_fraction_recomputed	fraction_absolute_difference	reference_version	bridge_version	discovery_eligibility	eligibility_reason	matrix_layer	matrix_type	expression_dtype	source_h5ad_path	source_annotation_path	source_annotation_sha256	mapping_source_path	mapping_source_sha256	missing_value_reason
Arabidopsis thaliana_CNP0002469	CNP0002469	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	19242	18718	17641	0.9167965907909781	0.9167965907909781	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	official_source_metadata_not_resolved	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0002469.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0002469.anno.csv	b44f2e893dc17352c808e2270bb3c14869e95c6ec63b04221e42947f4fe56b2e	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_CNP0002469	CNP0002469	Arabidopsis thaliana	root		standardized H5AD var_names mapped to species reference-gene candidates	19242	18718	17641	0.9167965907909781	0.9167965907909781	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0002469.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0002469.anno.csv	b44f2e893dc17352c808e2270bb3c14869e95c6ec63b04221e42947f4fe56b2e	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_CNP0002469	CNP0002469	Arabidopsis thaliana	vascular		standardized H5AD var_names mapped to species reference-gene candidates	19242	18718	17641	0.9167965907909781	0.9167965907909781	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	official_source_metadata_not_resolved	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0002469.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0002469.anno.csv	b44f2e893dc17352c808e2270bb3c14869e95c6ec63b04221e42947f4fe56b2e	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_CNP0004389	CNP0004389	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	25416						reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0004389.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0004389.anno.csv	01ed111cb6c0caf566b46cfc48b2a9639c7a61d446b04cf6b950b6d641fc66ca	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	orthogroup mapping coverage not evaluated for this manifest dataset; values retained blank
Arabidopsis thaliana_CNP0004389	CNP0004389	Arabidopsis thaliana	root		standardized H5AD var_names mapped to species reference-gene candidates	25416						reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0004389.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0004389.anno.csv	01ed111cb6c0caf566b46cfc48b2a9639c7a61d446b04cf6b950b6d641fc66ca	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	orthogroup mapping coverage not evaluated for this manifest dataset; values retained blank
Arabidopsis thaliana_CNP0004389	CNP0004389	Arabidopsis thaliana	vascular		standardized H5AD var_names mapped to species reference-gene candidates	25416						reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	orthogroup_coverage_below_60pct_or_unavailable;official_source_metadata_not_resolved;fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_CNP0004389.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_CNP0004389.anno.csv	01ed111cb6c0caf566b46cfc48b2a9639c7a61d446b04cf6b950b6d641fc66ca	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	orthogroup mapping coverage not evaluated for this manifest dataset; values retained blank
Arabidopsis thaliana_EMTAB11006	E-MTAB-11006	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	3552	3523	3388	0.9538288288288288	0.9538288288288288	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	eligible	passes_provisional_panel_gates	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_EMTAB11006.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_EMTAB11006.anno.csv	bdc6493acac503b7e79a3227d8fc795304aed6dda9e9b0879d3da33a12ce9a59	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_EMTAB11006	E-MTAB-11006	Arabidopsis thaliana	root		standardized H5AD var_names mapped to species reference-gene candidates	3552	3523	3388	0.9538288288288288	0.9538288288288288	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_EMTAB11006.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_EMTAB11006.anno.csv	bdc6493acac503b7e79a3227d8fc795304aed6dda9e9b0879d3da33a12ce9a59	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_EMTAB11006	E-MTAB-11006	Arabidopsis thaliana	vascular		standardized H5AD var_names mapped to species reference-gene candidates	3552	3523	3388	0.9538288288288288	0.9538288288288288	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	scaled_continuous;dense	float32	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_EMTAB11006.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_EMTAB11006.anno.csv	bdc6493acac503b7e79a3227d8fc795304aed6dda9e9b0879d3da33a12ce9a59	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
Arabidopsis thaliana_EMTAB12532	E-MTAB-12532	Arabidopsis thaliana	leaf		standardized H5AD var_names mapped to species reference-gene candidates	22799	22799	20345	0.8923637001622878	0.8923637001622878	0.0	reference_longest_protein_v1	gene_mapping_candidates_v1 + gene_orthogroup_candidates_v1	excluded	fewer_than_two_candidate_labels_with_100_cells	X	nonnegative_integer_unverified;csr	int64	/data/datasets/Bioinformatics/h5ad/Arabidopsis thaliana_EMTAB12532.h5ad	/root/autodl-tmp/project/plant-cell/data_raw/Arabidopsis thaliana_EMTAB12532.anno.csv	ee8f1e637d0c59a1491e697af352c95121c05a947125bc9b6f24ef62c7496ef9	/workspace/projects/PhyloOpenCell/metadata/gene_mapping_candidate_summary.tsv;/workspace/projects/PhyloOpenCell/metadata/dataset_orthogroup_coverage_v1.tsv	c1b43878a37f9df6b71d43837c126fa75978f4fbf274dbe36de802713efc926f;5bf556f16a0a3dc2bc78cea55cd5a1e852aef9f302ee79aee0e1baf98f8104b3	
