record_id	validation_stage	source_table	species	cohort	contrast_id	panel	coarse_label	role	endpoint_status	eligibility	record_scope	replicate	record_type	comparator	estimand	mapped_orthogroups	positive_cells	negative_cells	auroc	auroc_lower_95	auroc_upper_95	average_precision	ap_lower_95	ap_upper_95	smd	smd_lower_95	smd_upper_95	empirical_p	positive_replicate_directions	required_positive_replicate_directions	single_gene_auroc	family_minus_single_auroc	estimate	lower_95	upper_95	interval_type	bootstrap_n	random_programs	random_auc_median	random_auc_q95	exclusion_reason	note	source_path	source_sha256	provenance_version	gap_flags
rice_endpoint_01	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_leaf_photosynthetic_v1	leaf	photosynthetic_ground_tissue	primary	primary_pass		pooled					30	12030	5400	0.839556971768111			0.895059626745744			1.47507101283813			0.00199600798403194	4	3													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
rice_endpoint_02	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_leaf_epidermal_v1	leaf	epidermal_system	primary	primary_fail		pooled					8	4507	12923	0.572534627238007			0.426931784166048			0.466436068549112			0.0279441117764471	4	3													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
rice_endpoint_03	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_root_epidermal_v1	root	epidermal_system	primary	primary_pass		pooled					5	13497	8591	0.649108563009475			0.731887574148573			0.522001538465097			0.00199600798403194	2	2													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
rice_endpoint_04	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_root_ground_v1	root	ground_tissue	primary	primary_pass		pooled					8	4111	17977	0.716434052122088			0.352882743788773			0.79807182088319			0.00598802395209581	2	2													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
rice_endpoint_05	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_root_stele_v1	root	stele_lineage	primary	primary_fail		pooled					14	3577	18511	0.533478163562978			0.210034777435193			0.147673534555227			0.0359281437125749	1	2													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
rice_endpoint_06	second_round_v2_1	table2_endpoints.tsv	Oryza sativa	GSE232863	rice_root_cap_v1	root	root_cap	sensitivity_only_one_candidate_orthogroup	sensitivity_only		pooled					1	903	21185	0.64897288585945			0.0610633962426489			0.549563931578324			0.0119760479041916	2	2													independent_program_validation_summary_v2_1.tsv	cb1d6e8d564be8b96279e4e1e1d974f79ce1ee153b8a39662ddd95827f814b63	independent_program_validation_v2_1	rice_v2_1_replicate_level_rows_not_available_from_frozen_authority;direction_count_only_no_replicate_rows_invented
independent_validation_01	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_photosynthetic_v1	leaf	photosynthetic_ground_tissue	primary	primary_pass		pooled					30	6103	1937	0.8828038141655495			0.938117750000315			1.9640875534167181			0.001996007984031936	3	3	0.7610432371970047	0.12176057696854481											validation_summary.tsv;method_advantage.tsv;method_comparison_pooled.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;6b3b0861821bdc5bdafbfcc1b54d94b62745108a89b0828e79b39386ee02c19d;cfcce9e01165f93ec89b1b9a09b18654a9acaf78f393352c3065122f293b0b18;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	pooled_summary_record_not_replicate_level
independent_validation_02	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_photosynthetic_v1	leaf	photosynthetic_ground_tissue	primary	primary_pass		replicate	0				30	1695	557	0.8590097604635029			0.924923572708054			1.7713290797200891						0.7367089814270508	0.12230077903645209											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_03	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_photosynthetic_v1	leaf	photosynthetic_ground_tissue	primary	primary_pass		replicate	1				30	1974	638	0.8992704531956183			0.9448570935885743			2.1507543233295587						0.7982995239048064	0.10097092929081186											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
independent_validation_04	third_round_v3	figure2_independent_validation.tsv	moricandia		moricandia_leaf_photosynthetic_v1	leaf	photosynthetic_ground_tissue	primary	primary_pass		replicate	2				30	2434	742	0.885049401227445			0.9406770061362959			1.9656787771241966						0.7473527542208648	0.13769664700658024											validation_summary.tsv;method_comparison_by_replicate.tsv	910467374a45b2391a45d5346e8b63f08b373253f3d1b934d1f0ccc100fbcd81;b12643f062ca4e7e68af4d725674c92cc44a99530f1b5a7e0f4f7a6c90ad7d77	independent_program_validation_v3	
