section	species	endpoint_id	scope	program	k	permutation_id	order_condition	positive_cells	negative_cells	auroc	average_precision	smd	mean_positive	mean_negative	conditions	auroc_min	auroc_max	smd_min	smd_max	all_auroc_above_chance	all_smd_positive	joint_positive_direction_fraction	full_auroc	partial_exclusion_auroc	partial_minus_full_auroc	full_average_precision	partial_exclusion_average_precision	partial_minus_full_average_precision	full_smd	partial_exclusion_smd	partial_minus_full_smd	coverage	allowed_claim	residual_risk	label_evidence	scoring_layer	interpretation
k128_original_order_metric	esa	xylem_vs_all_other_root	pooled	complete_18og_family	128	0	immutable_source_order	221	15160	0.894943826932031	0.401197035141741	1.5057045760467	0.344758532965298	0.0457028701610388																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	xylem_vs_all_other_root	R1	complete_18og_family	128	0	immutable_source_order	118	7615	0.877987246402618	0.295604439985078	1.36696202029369	0.271246160227498	0.0423650011185125																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	xylem_vs_all_other_root	R2	complete_18og_family	128	0	immutable_source_order	103	7545	0.919370508341536	0.523768301288762	1.76894358038013	0.428976591053264	0.0490717068421306																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	xylem_vs_other_stele	pooled	complete_18og_family	128	0	immutable_source_order	221	3523	0.782719376097346	0.431394118100014	1.10732433930544	0.344758532965298	0.117125360837601																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	xylem_vs_other_stele	R1	complete_18og_family	128	0	immutable_source_order	118	1739	0.73711757195349	0.334873317448715	0.933555937823253	0.271246160227498	0.10788054071322																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	xylem_vs_other_stele	R2	complete_18og_family	128	0	immutable_source_order	103	1784	0.846978536288041	0.544180909967104	1.36708644803065	0.428976591053264	0.126136987629248																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	stele_vascular_vs_non_stele	pooled	complete_18og_family	128	0	immutable_source_order	3744	11637	0.780687052938277	0.631537561862019	1.03487508443963	0.130562041136806	0.0240803356028598																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	stele_vascular_vs_non_stele	R1	complete_18og_family	128	0	immutable_source_order	1857	5876	0.771204516386583	0.612400477470616	1.02209951857571	0.118261339368409	0.0229757017047622																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	esa	stele_vascular_vs_non_stele	R2	complete_18og_family	128	0	immutable_source_order	1887	5761	0.790174176136581	0.649467245460629	1.05853880448831	0.142667183258646	0.0252070199953648																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_all_other_root	pooled	complete_18og_family	128	0	immutable_source_order	224	17675	0.925660486967064	0.676476238369659	1.81901347279272	0.48960134588669	0.0680111745520369																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_all_other_root	R1	complete_18og_family	128	0	immutable_source_order	106	9694	0.914855911651245	0.616376003697104	1.62558103512988	0.427739335916142	0.0575176735293105																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_all_other_root	R2	complete_18og_family	128	0	immutable_source_order	118	7981	0.936525625479157	0.741845163332945	2.02696052199159	0.545172303995827	0.0807569456226181																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_other_stele	pooled	complete_18og_family	128	0	immutable_source_order	224	2230	0.905515294682896	0.765200832085417	1.71181049272263	0.48960134588669	0.0889109200094455																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_other_stele	R1	complete_18og_family	128	0	immutable_source_order	106	1060	0.886107155571378	0.704937399505044	1.51087600059765	0.427739335916142	0.0792712323931406																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	xylem_vs_other_stele	R2	complete_18og_family	128	0	immutable_source_order	118	1170	0.925438215268724	0.822032022205208	1.93854219777916	0.545172303995827	0.0976443122088328																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	stele_vascular_vs_non_stele	pooled	complete_18og_family	128	0	immutable_source_order	2454	15445	0.601737611415536	0.288441949729342	0.471462766173235	0.125485759209324	0.0649936004264285																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	stele_vascular_vs_non_stele	R1	complete_18og_family	128	0	immutable_source_order	1166	8634	0.599241957381782	0.284078705546795	0.471515600915031	0.110950150895232	0.0548469794830215																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k128_original_order_metric	sir	stele_vascular_vs_non_stele	R2	complete_18og_family	128	0	immutable_source_order	1288	6811	0.590001753192452	0.300756668212333	0.448518736229016	0.138644547481244	0.0778560178725269																					author_assigned_label_transfer_derived	RNA_counts	Frozen K=128 immutable-source-order cell-level discrimination metric.
k_and_tie_order_direction_robustness	esa	stele_vascular_vs_non_stele	R1	complete_18og_family											33	0.690258750856418	0.814289335551863	0.816277356101369	1.13871384864795	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	stele_vascular_vs_non_stele	R2	complete_18og_family											33	0.700927338194153	0.832181600103836	0.844611308388571	1.17138555811322	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	stele_vascular_vs_non_stele	pooled	complete_18og_family											33	0.695638368701658	0.82289576874602	0.827664410824284	1.14953302638284	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_all_other_root	R1	complete_18og_family											33	0.818886119055833	0.922694948640618	1.16164644796164	1.63330676760395	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_all_other_root	R2	complete_18og_family											33	0.896310808289422	0.963222606110907	1.52889596759491	2.10080843866375	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_all_other_root	pooled	complete_18og_family											33	0.854462207046407	0.939678870330353	1.31610915985942	1.77276456122214	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_other_stele	R1	complete_18og_family											33	0.704325493903568	0.805464859016969	0.818792925842593	1.16687088857762	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_other_stele	R2	complete_18og_family											33	0.815806086464365	0.903500370063999	1.19216483933855	1.65264179709807	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	esa	xylem_vs_other_stele	pooled	complete_18og_family											33	0.753163118126134	0.847195482048799	0.984833134409889	1.33768912897223	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	stele_vascular_vs_non_stele	R1	complete_18og_family											33	0.572578354115585	0.632384394378442	0.38392320664071	0.55549922420163	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	stele_vascular_vs_non_stele	R2	complete_18og_family											33	0.568376614464544	0.621440779940378	0.397246297797228	0.527367625902646	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	stele_vascular_vs_non_stele	pooled	complete_18og_family											33	0.579407949917194	0.634923802234339	0.406182793245267	0.550511633532965	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_all_other_root	R1	complete_18og_family											33	0.861403766578043	0.942737873261422	1.3731955157975	1.79376423858291	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_all_other_root	R2	complete_18og_family											33	0.905161410893244	0.965799069399995	1.72001010101842	2.28715772235846	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_all_other_root	pooled	complete_18og_family											33	0.883434279652455	0.95343491109315	1.54432468802953	2.0212529887102	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_other_stele	R1	complete_18og_family											33	0.839506941972232	0.910426308294767	1.30027231159041	1.64084522915494	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_other_stele	R2	complete_18og_family											33	0.89062726350862	0.953194263363755	1.65236107536233	2.1549791239761	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
k_and_tie_order_direction_robustness	sir	xylem_vs_other_stele	pooled	complete_18og_family											33	0.862723214285714	0.931359104740551	1.4687298621444	1.87693645437894	true	true	1.0														RNA_counts	descriptive direction across K and tie-order conditions; not a new confirmatory endpoint
partial_label_circularity_stress_test	esa	stele_vascular_vs_non_stele	R1		128	0	immutable_source_order																0.771204516386583	0.771512808415749	0.00030829202916593523	0.612400477470616	0.615122423543653	0.002721946073036996	1.02209951857571	1.03013998942617	0.008040470850460002	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
partial_label_circularity_stress_test	esa	stele_vascular_vs_non_stele	R2		128	0	immutable_source_order																0.790174176136581	0.789693907841288	-0.0004802682952930182	0.649467245460629	0.651732514889281	0.002265269428652017	1.05853880448831	1.08498522242806	0.02644641793975011	5/18 frozen OGs; complete label-transfer feature set unavailable	robustness to removal of documented published-marker overlap only	label circularity is not completely excluded		RNA_counts	Removal of the documented 5/18 published-marker-overlap orthogroups; incomplete circularity coverage.
