table	field	description	missing_value_policy
Table_S7a_discovery_threshold_sensitivity.tsv	top_n	Within-species positive-effect rank cutoff.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	minimum_species_recurrence	Minimum number of recurrent species required for candidate selection.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	scope	All panels or one named anatomical panel.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	candidate_count	Candidates meeting the top-N and species-recurrence condition.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	cross_clade_presence_count	Selected candidates present in at least one eudicot and one monocot.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	strict_2plus2_clade_balance_count	Selected candidates present in at least two eudicots and two monocots.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	frozen_102_retained_count	Members of the frozen top-100/minimum-3 candidate set retained.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	frozen_102_retained_fraction	Fraction of the complete frozen 102-candidate reference set retained.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7a_discovery_threshold_sensitivity.tsv	interpretation	Interpretation boundary for the threshold-sensitivity row.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	panel	Frozen anatomical panel.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	coarse_label	Frozen coarse cell-label group.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	eligible_species_count	Species represented for this panel and label.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	eligible_species	Semicolon-separated represented species.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	eudicot_count	Number of represented eudicot species.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	monocot_count	Number of represented monocot species.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	cross_clade_evaluable	Whether both eudicots and monocots are represented.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	strict_2plus2_evaluable	Whether at least two eudicots and two monocots are represented.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7b_clade_balance_eligibility.tsv	design_note	Design limitation relevant to clade-balance interpretation.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	frozen_rank	Rank in the submitted frozen 18-orthogroup xylem program.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	orthogroup_id	Frozen orthogroup identifier.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	mapped_in_all_three_validation_species	Whether the program member maps in all three GSE268881 species assets.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	top25_species_count	Species recurring within their top 25 vascular-xylem markers.	Blank means unavailable or not applicable; never interpret as zero.
Table_S7c_xylem_program_rediscovery.tsv	top50_species_count	Species recurring within their top 50 vascular-xylem markers.	Blank means unavailable or not applicable; never interpret as zero.
