top_n	minimum_species_recurrence	scope	candidate_count	cross_clade_presence_count	strict_2plus2_clade_balance_count	frozen_102_retained_count	frozen_102_retained_fraction	interpretation
25	2	all	79	28	1	38	0.37254901960784315	descriptive sensitivity; not a replacement discovery threshold
25	2	leaf	27	0	0	17	0.16666666666666666	descriptive sensitivity; not a replacement discovery threshold
25	2	root	25	16	0	10	0.09803921568627451	descriptive sensitivity; not a replacement discovery threshold
25	2	vascular	27	12	1	11	0.10784313725490197	descriptive sensitivity; not a replacement discovery threshold
25	3	all	16	8	1	16	0.1568627450980392	descriptive sensitivity; not a replacement discovery threshold
25	3	leaf	8	0	0	8	0.0784313725490196	descriptive sensitivity; not a replacement discovery threshold
25	3	root	5	5	0	5	0.049019607843137254	descriptive sensitivity; not a replacement discovery threshold
25	3	vascular	3	3	1	3	0.029411764705882353	descriptive sensitivity; not a replacement discovery threshold
25	4	all	2	1	1	2	0.0196078431372549	descriptive sensitivity; not a replacement discovery threshold
25	4	leaf	1	0	0	1	0.00980392156862745	descriptive sensitivity; not a replacement discovery threshold
25	4	root	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
25	4	vascular	1	1	1	1	0.00980392156862745	descriptive sensitivity; not a replacement discovery threshold
25	5	all	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
25	5	leaf	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
25	5	root	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
25	5	vascular	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
50	2	all	197	79	4	77	0.7549019607843137	descriptive sensitivity; not a replacement discovery threshold
50	2	leaf	65	0	0	30	0.29411764705882354	descriptive sensitivity; not a replacement discovery threshold
50	2	root	76	53	1	20	0.19607843137254902	descriptive sensitivity; not a replacement discovery threshold
50	2	vascular	56	26	3	27	0.2647058823529412	descriptive sensitivity; not a replacement discovery threshold
50	3	all	35	22	4	35	0.3431372549019608	descriptive sensitivity; not a replacement discovery threshold
50	3	leaf	13	0	0	13	0.12745098039215685	descriptive sensitivity; not a replacement discovery threshold
50	3	root	11	11	1	11	0.10784313725490197	descriptive sensitivity; not a replacement discovery threshold
50	3	vascular	11	11	3	11	0.10784313725490197	descriptive sensitivity; not a replacement discovery threshold
50	4	all	6	4	4	6	0.058823529411764705	descriptive sensitivity; not a replacement discovery threshold
50	4	leaf	2	0	0	2	0.0196078431372549	descriptive sensitivity; not a replacement discovery threshold
50	4	root	1	1	1	1	0.00980392156862745	descriptive sensitivity; not a replacement discovery threshold
50	4	vascular	3	3	3	3	0.029411764705882353	descriptive sensitivity; not a replacement discovery threshold
50	5	all	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
50	5	leaf	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
50	5	root	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
50	5	vascular	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
100	2	all	462	181	7	102	1.0	descriptive sensitivity; not a replacement discovery threshold
100	2	leaf	139	0	0	39	0.38235294117647056	descriptive sensitivity; not a replacement discovery threshold
100	2	root	186	128	2	28	0.27450980392156865	descriptive sensitivity; not a replacement discovery threshold
100	2	vascular	137	53	5	35	0.3431372549019608	descriptive sensitivity; not a replacement discovery threshold
100	3	all	102	62	7	102	1.0	descriptive sensitivity; not a replacement discovery threshold
100	3	leaf	39	0	0	39	0.38235294117647056	descriptive sensitivity; not a replacement discovery threshold
100	3	root	28	28	2	28	0.27450980392156865	descriptive sensitivity; not a replacement discovery threshold
100	3	vascular	35	34	5	35	0.3431372549019608	descriptive sensitivity; not a replacement discovery threshold
100	4	all	19	8	7	19	0.18627450980392157	descriptive sensitivity; not a replacement discovery threshold
100	4	leaf	11	0	0	11	0.10784313725490197	descriptive sensitivity; not a replacement discovery threshold
100	4	root	3	3	2	3	0.029411764705882353	descriptive sensitivity; not a replacement discovery threshold
100	4	vascular	5	5	5	5	0.049019607843137254	descriptive sensitivity; not a replacement discovery threshold
100	5	all	1	1	1	1	0.00980392156862745	descriptive sensitivity; not a replacement discovery threshold
100	5	leaf	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
100	5	root	1	1	1	1	0.00980392156862745	descriptive sensitivity; not a replacement discovery threshold
100	5	vascular	0	0	0	0	0.0	descriptive sensitivity; not a replacement discovery threshold
