table	field	data_type	description	unit_or_allowed_values	missing_value_policy
Table_S1	dataset_id	text	Dataset id.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	species	text	Species.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	tissue	text	Tissue.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	tissue_status	text	Tissue status.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	label_column	text	Label column.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	cells	numeric	Cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	labeled_cells	numeric	Labeled cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	unknown_cells	numeric	Unknown cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	unknown_fraction	numeric	Unknown fraction.	fraction	Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	readable	text	Readable.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	integrity_status	text	Integrity status.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_panel_status	text	Root panel status.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_accepted	text	Root accepted.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_reason	text	Root reason.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_candidate_label_count	text	Root candidate label count.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_labels_ge_100_cells	text	Root labels ge 100 cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	root_candidate_cells	text	Root candidate cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_panel_status	text	Leaf panel status.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_accepted	text	Leaf accepted.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_reason	text	Leaf reason.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_candidate_label_count	text	Leaf candidate label count.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_labels_ge_100_cells	text	Leaf labels ge 100 cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	leaf_candidate_cells	text	Leaf candidate cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_panel_status	text	Vascular panel status.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_accepted	text	Vascular accepted.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_reason	text	Vascular reason.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_candidate_label_count	text	Vascular candidate label count.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_labels_ge_100_cells	text	Vascular labels ge 100 cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	vascular_candidate_cells	text	Vascular candidate cells.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	source_path	text	Absolute authoritative source path(s), semicolon-delimited when multiple.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	source_sha256	text	SHA256 digest(s) corresponding positionally to source_path.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	authority_version	text	Frozen authority version recorded by manuscript_evidence_v1.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
Table_S1	direct_source_object_path	text	Absolute path to the individual source object when present in frozen evidence.		Blank means unavailable/not applicable; consult gap_flags. Never interpret blank as zero.
