panel	coarse_label	orthogroup_id	species_count	species	median_within_species_rank	mean_rank_score_difference	minimum_rank_score_difference	species_with_multi_gene_family	representative_genes_by_species	coarse_labels_in_panel	low_coarse_specificity_flag
leaf	epidermal_system	OG0000114	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	5.0	0.06660733348689973	0.00755115132778883	4	Arabidopsis thaliana: AT2G15050,AT2G38530,AT2G38540 | Brassica rapa: Bra005098,Bra005099,Bra006736 | Catharanthus roseus: M9H77_15494,M9H77_15495,M9H77_22462 | Glycine max: GLYMA_01G130000,GLYMA_01G130200,GLYMA_01G132500	1	False
leaf	epidermal_system	OG0002695	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	3.0	0.03697094631691774	0.01979997754096985	3	Arabidopsis thaliana: AT2G05380,AT2G05440,AT2G05510 | Brassica rapa: Bra013175,Bra013176 | Catharanthus roseus: M9H77_14392,M9H77_23422,M9H77_31108	1	False
leaf	epidermal_system	OG0004399	3	Arabidopsis thaliana; Brassica rapa; Glycine max	29.0	0.018446158928175766	0.004665845073759556	2	Arabidopsis thaliana: AT1G27950 | Brassica rapa: Bra010912,Bra030067,Bra032857 | Glycine max: GLYMA_05G147700,GLYMA_11G251100,GLYMA_18G005800	1	False
leaf	epidermal_system	OG0000156	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	36.0	0.024837098239610594	0.006327598821371794	3	Arabidopsis thaliana: AT1G29660,AT1G29670,AT1G33811 | Brassica rapa: Bra010820,Bra010821,Bra017597 | Catharanthus roseus: M9H77_11070,M9H77_11071,M9H77_11078	1	False
leaf	epidermal_system	OG0004007	3	Arabidopsis thaliana; Brassica rapa; Glycine max	38.0	0.01771762516970436	0.0059767975471913815	2	Arabidopsis thaliana: AT5G25610 | Brassica rapa: Bra009854,Bra020508 | Glycine max: GLYMA_04G079600,GLYMA_06G081100,GLYMA_14G140900	1	False
leaf	epidermal_system	OG0005429	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	45.0	0.011859575286507607	0.00473242811858654	1	Arabidopsis thaliana: AT2G27385,AT5G22430 | Brassica rapa: Bra012022 | Catharanthus roseus: M9H77_16606	1	False
leaf	epidermal_system	OG0000238	3	Brassica rapa; Catharanthus roseus; Glycine max	47.0	0.01390066184103489	0.011350786313414574	3	Brassica rapa: Bra001100,Bra011060,Bra023673 | Catharanthus roseus: M9H77_01244,M9H77_28782,M9H77_34869 | Glycine max: GLYMA_03G252500,GLYMA_03G252600,GLYMA_03G252700	1	False
leaf	epidermal_system	OG0001542	3	Brassica rapa; Catharanthus roseus; Glycine max	70.0	0.01673164265230298	0.007573646027594805	3	Brassica rapa: Bra015296,Bra033694 | Catharanthus roseus: M9H77_35324,M9H77_35331 | Glycine max: GLYMA_02G001500,GLYMA_10G179400,GLYMA_20G210900	1	False
leaf	epidermal_system	OG0000732	3	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus	73.0	0.015100417658686638	0.005401988979429007	2	Arabidopsis thaliana: AT2G21140,AT4G38770 | Brassica rapa: Bra010727,Bra030319 | Catharanthus roseus: M9H77_33891	1	False
leaf	photosynthetic_ground_tissue	OG0000299	4	Arabidopsis thaliana; Brassica rapa; Catharanthus roseus; Glycine max	6.5	0.03625864163041115	0.018340978771448135	4	Arabidopsis thaliana: AT1G23730,AT1G70410,AT3G01500 | Brassica rapa: Bra007912,Bra023485,Bra039113 | Catharanthus roseus: M9H77_10150,M9H77_15381 | Glycine max: GLYMA_01G030500,GLYMA_02G035000,GLYMA_02G213700	1	False
