panel	coarse_label	orthogroup_id	discovery_species_count_top100	cross_study_family_status	heldout_tests	heldout_positive_fraction	species_with_positive_gene_level_marker	species_with_single_dominant_pattern	species_with_dominance_rows	dominant_genes_by_species	supported_tree_pattern	observed_mrca_sh_alrt	observed_mrca_ultrafast_bootstrap	joint_evidence_status_existing	conservative_evidence_tier	one_to_one_ortholog_claim	paralog_substitution_claim	main_gap
vascular	phloem_lineage	OG0000050	4	insufficient_multispecies_study_coverage	15	1	5	3	5	Arabidopsis thaliana: AT4G33660 | Catharanthus roseus: M9H77_30717 | Glycine max: GLYMA_07G222600 | Oryza sativa: Os07g0191650 | Sorghum bicolor: SORBI_3002G066400	indeterminate_tree_pattern			preliminary_or_insufficient_joint_evidence	preliminary_or_insufficient_joint_evidence	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
leaf	epidermal_system	OG0000114	4	cross_species_mixed_support	16	0.6875	4	0	4	Arabidopsis thaliana: AT3G51600 | Brassica rapa: Bra005099 | Catharanthus roseus: M9H77_32334 | Glycine max: GLYMA_01G132500	indeterminate_tree_pattern	0	33	preliminary_or_insufficient_joint_evidence	preliminary_or_insufficient_joint_evidence	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
leaf	photosynthetic_ground_tissue	OG0000299	4	not_cross_species_study_robust	16	0.5625	4	1	4	Arabidopsis thaliana: AT5G14740 | Brassica rapa: Bra023485 | Catharanthus roseus: M9H77_15381 | Glycine max: GLYMA_05G007100	well_supported_dominant_subclade	98.2	98	supported_subclade_expression_not_robust	supported_subclade_expression_not_robust	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
vascular	phloem_lineage	OG0000378	4	insufficient_multispecies_study_coverage	14	1	5	1	5	Arabidopsis thaliana: AT5G63850 | Catharanthus roseus: M9H77_17829 | Glycine max: GLYMA_06G116400 | Oryza sativa: Os05g0424000 | Sorghum bicolor: SORBI_3009G142800	compact_driver_distance_only			preliminary_or_insufficient_joint_evidence	preliminary_or_insufficient_joint_evidence	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
vascular	xylem_lineage	OG0001353	4	insufficient_multispecies_study_coverage	7	1	4	2	4	Arabidopsis thaliana: AT5G59290 | Glycine max: GLYMA_15G040000 | Oryza sativa: Os03g0278000 | Sorghum bicolor: SORBI_3001G418100	indeterminate_tree_pattern	97.1	99	preliminary_or_insufficient_joint_evidence	preliminary_or_insufficient_joint_evidence	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
root	stele_lineage	OG0001749	5	cross_species_study_robust	13	0.923077	5	1	5	Arabidopsis thaliana: AT5G05960 | Catharanthus roseus: M9H77_10940 | Glycine max: GLYMA_18G190000 | Oryza sativa: Os05g0160300 | Sorghum bicolor: SORBI_3005G096101	indeterminate_tree_pattern	99.2	100	expression_robust_tree_indeterminate	expression_robust_tree_not_confirmatory	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
leaf	photosynthetic_ground_tissue	OG0002588	4	cross_species_study_robust	17	0.823529	4	2	4	Arabidopsis thaliana: AT2G39730 | Brassica rapa: Bra000144 | Catharanthus roseus: M9H77_10996 | Glycine max: GLYMA_11G221000	indeterminate_tree_pattern			expression_robust_tree_indeterminate	expression_robust_tree_not_confirmatory	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
vascular	phloem_lineage	OG0002673	4	insufficient_multispecies_study_coverage	14	0.928571	4	3	5	Arabidopsis thaliana: AT1G54410 | Glycine max: GLYMA_16G037900 | Oryza sativa: Os03g0655400 | Sorghum bicolor: SORBI_3001G149500	indeterminate_tree_pattern			preliminary_or_insufficient_joint_evidence	preliminary_or_insufficient_joint_evidence	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
leaf	photosynthetic_ground_tissue	OG0002747	4	cross_species_study_robust	14	0.857143	4	2	4	Arabidopsis thaliana: AT5G01530 | Brassica rapa: Bra029732 | Catharanthus roseus: M9H77_22841 | Glycine max: GLYMA_01G115900	indeterminate_tree_pattern	99.9	100	expression_robust_tree_indeterminate	expression_robust_tree_not_confirmatory	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
leaf	photosynthetic_ground_tissue	OG0002909	4	cross_species_study_robust	15	0.866667	4	2	4	Arabidopsis thaliana: AT2G05070 | Brassica rapa: Bra033022 | Catharanthus roseus: M9H77_04392 | Glycine max: GLYMA_02G305400	dispersed_driver_distance_signal			expression_robust_dispersed_hypothesis	expression_robust_tree_not_confirmatory	not_established	not_established	no independent functional validation and no family-wide one-to-one orthology proof
