frozen_rank	orthogroup_id	mapped_in_all_three_validation_species	top25_species_count	top50_species_count	top100_species_count	top100_species	top100_eudicot_count	top100_monocot_count	selected_top100_min3	cross_clade_presence_top100	single_gene_representatives	annotation_class	function_symbols	evidence_scope	gap_flags	allowed_claim
1	OG0000931	True	2	2	2	Arabidopsis thaliana; Oryza sativa	1	1	false	true	AT1G64160	mapping_only		orthogroup_mapping_only_not_causal	functional_annotation_unavailable_mapping_only;not_recurrent_in_frozen_v2_top100_min3_xylem_discovery	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
2	OG0001788	False	2	3	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	1	2	true	true		annotation_available	XCP1;XCP2	association_annotation_not_causal	deterministic_single_gene_representative_unavailable_in_frozen_evidence;esa_ortholog_mapping_unavailable;sir_ortholog_mapping_unavailable;spa_ortholog_mapping_unavailable	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
3	OG0001353	True	4	4	4	Arabidopsis thaliana; Glycine max; Oryza sativa; Sorghum bicolor	2	2	true	true	AT2G28760	annotation_available	AT2G28755;UXS;UXS5;UXS6	association_annotation_not_causal		program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
4	OG0000478	True	2	2	3	Arabidopsis thaliana; Glycine max; Oryza sativa	2	1	true	true	AT5G03170	annotation_available	FLA11;FLA12;OsFLA7;OsFLA8;OsFLA9	association_annotation_not_causal		program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
5	OG0000555	True	1	2	3	Arabidopsis thaliana; Glycine max; Oryza sativa	2	1	true	true	AT1G26570	annotation_available	UGD1;UGD2;UGD3	association_annotation_not_causal		program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
6	OG0000146	True	1	1	1	Arabidopsis thaliana	1	0	false	false	AT1G64235	annotation_available	AT1G07747;AT1G48750;AT1G64235;OsLTP2.4;OsLTP2.5;nsLTP2	association_annotation_not_causal	no_cross_clade_recurrence_in_frozen_v2_xylem_discovery;not_recurrent_in_frozen_v2_top100_min3_xylem_discovery	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
7	OG0001133	True	1	1	1	Arabidopsis thaliana	1	0	false	false	AT1G68810	mapping_only		orthogroup_mapping_only_not_causal	functional_annotation_unavailable_mapping_only;no_cross_clade_recurrence_in_frozen_v2_xylem_discovery;not_recurrent_in_frozen_v2_top100_min3_xylem_discovery	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
8	OG0001988	True	1	1	2	Arabidopsis thaliana; Glycine max	2	0	false	false	AT4G37450	mapping_only		orthogroup_mapping_only_not_causal	functional_annotation_unavailable_mapping_only;no_cross_clade_recurrence_in_frozen_v2_xylem_discovery;not_recurrent_in_frozen_v2_top100_min3_xylem_discovery	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
9	OG0000560	False	1	1	2	Arabidopsis thaliana; Glycine max	2	0	false	false		annotation_available	AGP12;AGP13;AGP21;OsAGPEP3	association_annotation_not_causal	deterministic_single_gene_representative_unavailable_in_frozen_evidence;esa_ortholog_mapping_unavailable;no_cross_clade_recurrence_in_frozen_v2_xylem_discovery;not_recurrent_in_frozen_v2_top100_min3_xylem_discovery;sir_ortholog_mapping_unavailable;spa_ortholog_mapping_unavailable	program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
10	OG0000074	True	2	2	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	1	2	true	true	AT1G55210	annotation_available	AT1G22900;AT1G55210;AT1G58170	association_annotation_not_causal		program membership/mapping and exploratory recurrence only; not one-to-one orthology or causality
