frozen_rank	orthogroup_id	selection_origin	selection_source	arabidopsis_xylem_rank	arabidopsis_mean_rank_score_difference	programme_frozen_at	freeze_protocol_sha256	rediscovered_top100_min3	discovery_species_count_top100	discovery_species_top100	mapped_in_all_three_validation_species	program_mapping_coverage_numerator	program_mapping_coverage_denominator	program_mapping_coverage_fraction	arabidopsis_members	esa_members	sir_members	spa_members	single_gene_representatives	annotation_class	function_symbols	function_descriptions	annotation_member_genes	annotation_sources	annotation_scope	source_path	source_sha256	provenance_version	gap_flags
1	OG0000931	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	1	0.11946184933185577	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	false	2	Arabidopsis thaliana; Oryza sativa	True	16	18	0.8888888888888888	AT1G64160;AT4G11180;AT4G11190	Thhalv10024130m.g	Si-s146-00290	Sp2g00560	AT1G64160	mapping_only					orthogroup_mapping_only_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	functional_annotation_unavailable_mapping_only
2	OG0001788	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	2	0.07554635405540466	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	true	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	False	16	18	0.8888888888888888	AT1G20850;AT4G35350					annotation_available	XCP1;XCP2	xylem cysteine peptidase 1 | xylem cysteine peptidase 2	AT1G20850;AT4G35350;Os01g0971400;Os05g0108600;SORBI_3003G443200;SORBI_3009G008800	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	deterministic_single_gene_representative_unavailable_in_frozen_evidence;esa_ortholog_mapping_unavailable;sir_ortholog_mapping_unavailable;spa_ortholog_mapping_unavailable
3	OG0001353	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	3	0.06718777120113373	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	true	4	Arabidopsis thaliana; Glycine max; Oryza sativa; Sorghum bicolor	True	16	18	0.8888888888888888	AT2G28755;AT2G28760;AT3G46440	Thhalv10002602m.g;Thhalv10016891m.g	Si-c205643-00010;Si-s486-00230	Sp4g11610;Sp5g15240	AT2G28760	annotation_available	AT2G28755;UXS;UXS5;UXS6	UDP-D-glucuronate carboxy-lyase-like protein | UDP-XYL synthase 5 | UDP-XYL synthase 6	AT2G28755;AT2G28760;AT3G46440;GLYMA_11G141200;GLYMA_11G141300;GLYMA_12G064600;Os03g0278000;SORBI_3001G418100	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Glycine_max.Glycine_max_v2.1.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	
4	OG0000478	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	4	0.06135904788970947	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	true	3	Arabidopsis thaliana; Glycine max; Oryza sativa	True	16	18	0.8888888888888888	AT5G03170;AT5G60490	Thhalv10014491m.g;Thhalv10015384m.g	Si-c225697-00050;Si-s123-01770	Sp6g22070;Sp6g39550	AT5G03170	annotation_available	FLA11;FLA12;OsFLA7;OsFLA8;OsFLA9	FASCICLIN-like arabinogalactan-protein 11 | FASCICLIN-like arabinogalactan-protein 12	AT5G03170;AT5G60490;GLYMA_03G179900;GLYMA_03G180000;GLYMA_19G180700;Os01g0159200;Os01g0668100;Os05g0163300	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Glycine_max.Glycine_max_v2.1.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	
5	OG0000555	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	5	0.05413380637764931	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	true	3	Arabidopsis thaliana; Glycine max; Oryza sativa	True	16	18	0.8888888888888888	AT1G26570;AT3G29360;AT5G15490	Thhalv10004110m.g;Thhalv10010007m.g	Si-s1142-00530;Si-s27-02510	Sp1g22210;Sp2g17950	AT1G26570	annotation_available	UGD1;UGD2;UGD3	UDP-glucose 6-dehydrogenase family protein | UDP-glucose dehydrogenase | UDP-glucose dehydrogenase 1	AT1G26570;AT3G29360;AT5G15490;GLYMA_01G057100;GLYMA_02G115400;GLYMA_08G243000;Os03g0425600;Os03g0604200;Os03g0757900	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Glycine_max.Glycine_max_v2.1.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	
6	OG0000146	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	6	0.04942425340414047	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	false	1	Arabidopsis thaliana	True	16	18	0.8888888888888888	AT1G07747;AT1G48750;AT1G64235	Thhalv10023808m.g	Si-s146-00370	Sp2g00500	AT1G64235	annotation_available	AT1G07747;AT1G48750;AT1G64235;OsLTP2.4;OsLTP2.5;nsLTP2	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	AT1G07747;AT1G48750;AT1G64235;Os03g0111300;Os05g0550300;Os05g0550600;SORBI_3001G535600;SORBI_3009G221900;SORBI_3009G222000	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	
7	OG0001133	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	7	0.04933404549956322	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	false	1	Arabidopsis thaliana	True	16	18	0.8888888888888888	AT1G68810;AT3G25710	Thhalv10018758m.g	Si-s1659-00360	Sp5g23920	AT1G68810	mapping_only					orthogroup_mapping_only_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	functional_annotation_unavailable_mapping_only
8	OG0001988	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	8	0.04817819222807884	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	false	2	Arabidopsis thaliana; Glycine max	True	16	18	0.8888888888888888	AT2G14890;AT2G23130;AT4G37450	Thhalv10026340m.g	Si-s2121-00070	Sp7g35110	AT4G37450	mapping_only					orthogroup_mapping_only_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	functional_annotation_unavailable_mapping_only
9	OG0000560	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	9	0.04036145657300949	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	false	2	Arabidopsis thaliana; Glycine max	False	16	18	0.8888888888888888	AT1G55330;AT3G13520;AT4G26320					annotation_available	AGP12;AGP13;AGP21;OsAGPEP3	arabinogalactan protein 12 | arabinogalactan protein 13 | arabinogalactan protein 21	AT1G55330;AT3G13520;AT4G26320;Os05g0541750;SORBI_3003G272900;SORBI_3009G215000	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	deterministic_single_gene_representative_unavailable_in_frozen_evidence;esa_ortholog_mapping_unavailable;sir_ortholog_mapping_unavailable;spa_ortholog_mapping_unavailable
10	OG0000074	Arabidopsis_vascular_xylem_top18_positive_rank	coarse_marker_orthogroups_v2.tsv	10	0.03993195295333862	2026-09-15T15:30:00+08:00	7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1	true	3	Arabidopsis thaliana; Oryza sativa; Sorghum bicolor	True	16	18	0.8888888888888888	AT1G22900;AT1G55210;AT1G58170	Thhalv10011810m.g;Thhalv10023714m.g	Si-c219783-00010;Si-s710-00080	Sp1g40900;Sp2g05440	AT1G55210	annotation_available	AT1G22900;AT1G55210;AT1G58170	Disease resistance-responsive (dirigent-like protein) family protein	AT1G22900;AT1G55210;AT1G58170;Os01g0601651;Os11g0178800;Os11g0179000;SORBI_3002G119900;SORBI_3005G061200;SORBI_3005G061700	internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Arabidopsis_thaliana.TAIR10.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Oryza_sativa.IRGSP-1.0.pep.all.fa.gz;internal_source_record:not_publicly_portable:data/datasets/PhyloOpenCell/references/ensembl_plants_release_63/Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	association_annotation_not_causal	project_record:02_结果文件/实验报告/PhyloOpenCell/coarse_marker_orthogroups_v2.tsv;project_record:02_结果文件/实验报告/PhyloOpenCell/gse268881_root_xylem_validation_protocol_freeze_v1.md;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/gse268881_three_species_mapping_freeze_v1.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_function_evidence_v2.tsv;internal_source_record:not_publicly_portable:workspace/projects/PhyloOpenCell/metadata/conserved_program_gene_annotations_v2.tsv	4793e68ffe55e93ca7f18a57058afeb9616bf1d1f6457bba42116995ab60df13;7d93765f465e43f067679e6864cc5495b114867908e724e7a033f52c8611e2b1;f1410cae32cd687a540647e120d811294697da0cccc6837646f2a68fe77270d4;095301daac7572e3a3ff3253aa8e51742ab21b41516488198b6e1da1b3d4871e;06465041a486d43ac94015a47d382d2d8bbf3fb1aa2f77c33d3853030809c131	arabidopsis_top18_v2+gse268881_protocol_freeze_v1+function_evidence_v2	
